# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20221001-20230630
# ----------------------------------------

Индекс дня,Просмотры страниц
15.03.2023,9 638
16.03.2023,10 341
17.03.2023,7 844
18.03.2023,4 615
19.03.2023,5 519
20.03.2023,10 128
21.03.2023,10 576
22.03.2023,10 034
23.03.2023,9 919
24.03.2023,7 913
25.03.2023,5 515
26.03.2023,5 434
27.03.2023,10 020
28.03.2023,9 762
29.03.2023,9 089
30.03.2023,10 150
31.03.2023,8 170
01.04.2023,4 845
02.04.2023,4 887
03.04.2023,9 161
04.04.2023,10 240
05.04.2023,14 374
06.04.2023,11 545
07.04.2023,10 000
08.04.2023,7 192
09.04.2023,7 350
10.04.2023,13 294
11.04.2023,15 950
12.04.2023,13 974
13.04.2023,11 805
14.04.2023,11 067
15.04.2023,6 840
16.04.2023,6 080
17.04.2023,10 389
18.04.2023,13 072
19.04.2023,10 842
20.04.2023,11 671
21.04.2023,11 755
22.04.2023,6 512
23.04.2023,8 204
24.04.2023,11 950
25.04.2023,11 904
26.04.2023,12 029
27.04.2023,11 136
28.04.2023,9 816
29.04.2023,6 534
30.04.2023,5 904
01.05.2023,10 013
02.05.2023,12 875
03.05.2023,11 421
04.05.2023,11 427
05.05.2023,10 115
06.05.2023,6 477
07.05.2023,6 786
08.05.2023,13 620
09.05.2023,13 225
10.05.2023,15 178
11.05.2023,14 196
12.05.2023,10 626
13.05.2023,6 489
14.05.2023,6 890
15.05.2023,11 977
16.05.2023,10 941
17.05.2023,11 244
18.05.2023,12 205
19.05.2023,10 235
20.05.2023,5 744
21.05.2023,6 165
22.05.2023,11 843
23.05.2023,12 991
24.05.2023,11 876
25.05.2023,10 896
26.05.2023,9 369
27.05.2023,5 465
28.05.2023,5 359
29.05.2023,6 468
30.05.2023,11 153
31.05.2023,11 412
01.06.2023,15 844
02.06.2023,12 950
03.06.2023,6 680
04.06.2023,7 220
05.06.2023,11 426
06.06.2023,10 848
07.06.2023,12 586
08.06.2023,10 722
09.06.2023,10 973
10.06.2023,6 194
11.06.2023,5 479
12.06.2023,11 177
13.06.2023,10 718
14.06.2023,10 527
15.06.2023,11 335
16.06.2023,11 308
17.06.2023,6 648
18.06.2023,8 497
19.06.2023,8 729
20.06.2023,14 733
21.06.2023,18 887
22.06.2023,11 407
23.06.2023,9 720
24.06.2023,6 715
25.06.2023,6 472
26.06.2023,9 705
27.06.2023,15 018
28.06.2023,10 874
29.06.2023,12 460
30.06.2023,10 502
,3 010 883
